run,success rate dataset,time,success rate (per img),adv prob label (per img)
1,0.4,28.937317609786987,"[0.0, 0.055, 0.0, 0.065, 0.0]","[[0.0, 0], [np.float32(56.9361), np.float32(1035.2018)], [0.0, 0], [np.float32(45.41242), np.float32(698.6526)], [0.0, 0]]"
2,0.2,22.55170750617981,"[0.0, 0.0, 0.0, 0.115, 0.0]","[[0.0, 0], [0.0, 0], [0.0, 0], [np.float32(91.44933), np.float32(795.2116)], [0.0, 0]]"
3,0.2,25.0224928855896,"[0.0, 0.0, 0.0, 0.02, 0.0]","[[0.0, 0], [0.0, 0], [0.0, 0], [np.float32(16.127125), np.float32(806.35626)], [0.0, 0]]"
4,0.2,22.093454122543335,"[0.0, 0.0, 0.0, 0.065, 0.0]","[[0.0, 0], [0.0, 0], [0.0, 0], [np.float32(49.08189), np.float32(755.106)], [0.0, 0]]"
5,0.4,24.280184745788574,"[0.0, 0.045, 0.0, 0.05, 0.0]","[[0.0, 0], [np.float32(37.760513), np.float32(839.1225)], [0.0, 0], [np.float32(37.33505), np.float32(746.701)], [0.0, 0]]"
1,0.4,21.832305908203125,"[0.0, 0.055, 0.0, 0.065, 0.0]","[[0.0, 0], [np.float32(56.935722), np.float32(1035.195)], [0.0, 0], [np.float32(45.412178), np.float32(698.64886)], [0.0, 0]]"
2,0.2,17.464354515075684,"[0.0, 0.0, 0.0, 0.115, 0.0]","[[0.0, 0], [0.0, 0], [0.0, 0], [np.float32(91.449104), np.float32(795.2096)], [0.0, 0]]"
3,0.2,16.599825859069824,"[0.0, 0.0, 0.0, 0.02, 0.0]","[[0.0, 0], [0.0, 0], [0.0, 0], [np.float32(16.126833), np.float32(806.3417)], [0.0, 0]]"
4,0.2,16.896422386169434,"[0.0, 0.0, 0.0, 0.065, 0.0]","[[0.0, 0], [0.0, 0], [0.0, 0], [np.float32(49.08156), np.float32(755.1009)], [0.0, 0]]"
5,0.4,17.360016584396362,"[0.0, 0.045, 0.0, 0.05, 0.0]","[[0.0, 0], [np.float32(37.76087), np.float32(839.1305)], [0.0, 0], [np.float32(37.335304), np.float32(746.70605)], [0.0, 0]]"
