gen,genotype,true label,predicted label, confidence in wrong label
2,"[array([  7,   7, 199, 129, 190]), array([ 19,  12,  13,  67, 158]), array([ 11,  13, 136, 123, 167])]",3,6,801.09235
2,"[array([ 11,  20, 197, 132, 190]), array([ 20,  12,  13,  67, 158]), array([ 11,   8, 137, 121, 173])]",3,6,742.53815
3,"[array([ 18,   2, 190, 132, 190]), array([ 20,  12,  13,  60, 158]), array([ 11,   8, 134, 121, 173])]",3,6,752.1131
3,"[array([ 14,  19, 201, 129, 193]), array([19, 12, 13, 74, 17]), array([ 14,  30, 120, 115,  34])]",3,6,745.0462
3,"[array([ 30,   4, 198, 129, 188]), array([ 19,  12,  13,  74, 157]), array([ 11,   8, 137, 121, 167])]",3,6,726.79865
3,"[array([ 11,  20, 197, 132, 190]), array([ 20,  12,  15,  67, 157]), array([ 11,   5, 137, 119, 175])]",3,6,750.1676
3,"[array([ 16,   7, 168,  91,  11]), array([13, 26, 56, 13, 58]), array([ 19,  15, 145,  62, 236])]",3,6,780.1825
4,"[array([ 30,   9, 201, 130, 193]), array([19, 12, 13, 74, 17]), array([ 14,  30, 120, 115,  34])]",3,6,736.6215
4,"[array([ 22,   2, 190, 132, 190]), array([ 20,  12,  13,  60, 158]), array([ 11,   8, 134, 127, 173])]",3,6,719.7962
4,"[array([ 25,  14, 161,  10, 197]), array([ 20,  12,  13,  77, 157]), array([  8,   6, 137, 122, 167])]",3,6,791.6606
4,"[array([ 19,  14, 158,  10,  45]), array([ 8,  8, 62, 17, 56]), array([ 22,  14, 146, 174, 119])]",3,6,709.68555
4,"[array([ 11,  20, 197, 132, 188]), array([ 18,  13,  11,  67, 158]), array([ 11,   8, 137, 121, 119])]",3,6,761.9363
4,"[array([ 16,   7, 168,  91,   9]), array([13, 25, 56, 13, 59]), array([ 19,  15, 140,  62, 173])]",3,6,798.7381
