abordagem,run,img_idx,img_counter,number of pixels
ga,1,5027,0,0
ga,1,2757,1,11
ga,1,374,2,0
ga,1,9295,3,13
ga,1,3326,4,0
ga,2,5027,0,0
ga,2,2757,1,0
ga,2,374,2,0
ga,2,9295,3,23
ga,2,3326,4,0
ga,3,5027,0,0
ga,3,2757,1,0
ga,3,374,2,0
ga,3,9295,3,4
ga,3,3326,4,0
ga,4,5027,0,0
ga,4,2757,1,0
ga,4,374,2,0
ga,4,9295,3,13
ga,4,3326,4,0
ga,5,5027,0,0
ga,5,2757,1,9
ga,5,374,2,0
ga,5,9295,3,10
ga,5,3326,4,0
ga,1,5027,0,0
ga,1,2757,1,11
ga,1,374,2,0
ga,1,9295,3,13
ga,1,3326,4,0
ga,2,5027,0,0
ga,2,2757,1,0
ga,2,374,2,0
ga,2,9295,3,23
ga,2,3326,4,0
ga,3,5027,0,0
ga,3,2757,1,0
ga,3,374,2,0
ga,3,9295,3,4
ga,3,3326,4,0
ga,4,5027,0,0
ga,4,2757,1,0
ga,4,374,2,0
ga,4,9295,3,13
ga,4,3326,4,0
ga,5,5027,0,0
ga,5,2757,1,9
ga,5,374,2,0
ga,5,9295,3,10
ga,5,3326,4,0
