image id,true label,confidence,prediction
2715,0,1.0,"[np.float32(1.0), np.float32(7.526333e-26), np.float32(7.968098e-25), np.float32(1.1277397e-32), np.float32(2.5066286e-28), np.float32(2.86292e-40), np.float32(7.09549e-40), np.float32(8.750571e-26), np.float32(2.8471465e-24), np.float32(1.2827842e-19)]"
6816,1,1.0,"[np.float32(1.1639571e-14), np.float32(1.0), np.float32(3.2800157e-28), np.float32(2.2507708e-28), np.float32(4.8812294e-35), np.float32(1.3077176e-31), np.float32(5.6553296e-28), np.float32(1.7004298e-28), np.float32(3.4858472e-14), np.float32(1.625068e-08)]"
7760,2,0.5692261,"[np.float32(0.42435476), np.float32(1.6548518e-06), np.float32(0.5692261), np.float32(3.002066e-05), np.float32(1.45896e-05), np.float32(6.222394e-07), np.float32(2.1099105e-08), np.float32(0.0015043957), np.float32(0.0047718673), np.float32(9.5924945e-05)]"
1129,3,0.90378577,"[np.float32(0.0002259791), np.float32(0.0009746193), np.float32(8.782191e-05), np.float32(0.90378577), np.float32(6.4893593e-06), np.float32(0.0867185), np.float32(0.00044276068), np.float32(0.0076193246), np.float32(5.656488e-06), np.float32(0.00013289857)]"
6551,4,0.99999475,"[np.float32(1.823531e-16), np.float32(1.0485968e-16), np.float32(1.15725875e-07), np.float32(3.9063647e-10), np.float32(0.99999475), np.float32(2.1058552e-06), np.float32(7.9720806e-11), np.float32(2.9690298e-06), np.float32(4.3786595e-18), np.float32(8.0761156e-16)]"
598,5,0.52019393,"[np.float32(1.4727416e-05), np.float32(0.00044176602), np.float32(0.01674853), np.float32(0.00844563), np.float32(0.0013921341), np.float32(0.52019393), np.float32(0.44673973), np.float32(2.9496616e-05), np.float32(0.005934368), np.float32(5.9691272e-05)]"
5012,6,0.99710685,"[np.float32(9.313727e-22), np.float32(3.0384816e-20), np.float32(3.2395694e-10), np.float32(0.0028931885), np.float32(6.61832e-14), np.float32(6.8995413e-16), np.float32(0.99710685), np.float32(6.925762e-21), np.float32(2.4932744e-19), np.float32(5.5998047e-20)]"
3257,7,0.9999999,"[np.float32(2.6854868e-14), np.float32(1.0104438e-18), np.float32(1.0450238e-13), np.float32(2.7184218e-11), np.float32(1.3212367e-11), np.float32(8.69097e-08), np.float32(7.872961e-23), np.float32(0.9999999), np.float32(1.1308105e-18), np.float32(9.490119e-16)]"
8208,8,0.9860771,"[np.float32(8.952532e-08), np.float32(0.0018731032), np.float32(2.921905e-14), np.float32(4.110497e-11), np.float32(7.89948e-16), np.float32(9.023111e-15), np.float32(3.8095602e-10), np.float32(1.899336e-15), np.float32(0.9860771), np.float32(0.01204976)]"
3253,9,0.99648094,"[np.float32(3.019019e-08), np.float32(0.0035189895), np.float32(2.1735425e-09), np.float32(1.3841758e-12), np.float32(5.4208974e-15), np.float32(4.907682e-13), np.float32(8.2876e-16), np.float32(4.6769116e-12), np.float32(3.0941347e-08), np.float32(0.99648094)]"
2672,0,0.9270716,"[np.float32(0.9270716), np.float32(1.6134916e-07), np.float32(0.0010783462), np.float32(2.0651009e-05), np.float32(1.5695902e-07), np.float32(7.1857067e-09), np.float32(3.815074e-05), np.float32(2.4850997e-09), np.float32(0.07179033), np.float32(6.8129066e-07)]"
2484,1,1.0,"[np.float32(0.0), np.float32(1.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(1.1e-44), np.float32(1.2392212e-34)]"
2839,2,0.99999964,"[np.float32(9.387215e-12), np.float32(2.0846903e-12), np.float32(0.99999964), np.float32(2.1712731e-08), np.float32(2.1034658e-09), np.float32(3.1632403e-09), np.float32(3.9537335e-07), np.float32(7.260369e-12), np.float32(2.021274e-10), np.float32(4.2480475e-13)]"
7210,3,0.99997616,"[np.float32(5.3724467e-14), np.float32(1.3623663e-13), np.float32(3.6353365e-06), np.float32(0.99997616), np.float32(5.9973206e-14), np.float32(1.6627451e-05), np.float32(3.6541967e-06), np.float32(8.723862e-12), np.float32(1.01277825e-13), np.float32(1.4538243e-12)]"
7651,4,0.9996935,"[np.float32(1.18499386e-07), np.float32(3.5667262e-09), np.float32(0.000100165154), np.float32(2.749385e-05), np.float32(0.9996935), np.float32(5.4647336e-07), np.float32(0.00015985203), np.float32(1.7727018e-05), np.float32(6.789313e-09), np.float32(5.9376174e-07)]"
3393,5,0.9972119,"[np.float32(3.6194433e-11), np.float32(2.4214362e-09), np.float32(4.7794135e-08), np.float32(0.0027876252), np.float32(1.1957224e-13), np.float32(0.9972119), np.float32(4.6203107e-07), np.float32(2.331908e-09), np.float32(4.639075e-09), np.float32(1.08809434e-10)]"
4257,6,1.0,"[np.float32(1.963641e-31), np.float32(8.260115e-23), np.float32(2.7894022e-19), np.float32(1.1262078e-27), np.float32(1.9991427e-30), np.float32(4.0774055e-29), np.float32(1.0), np.float32(4.441558e-37), np.float32(1.6256777e-28), np.float32(8.949644e-27)]"
9020,7,1.0,"[np.float32(4.112562e-17), np.float32(3.1987436e-22), np.float32(7.590009e-22), np.float32(2.3518344e-12), np.float32(2.196187e-14), np.float32(7.740343e-11), np.float32(3.258904e-26), np.float32(1.0), np.float32(2.143627e-18), np.float32(6.699835e-14)]"
1532,8,1.0,"[np.float32(5.8285345e-08), np.float32(8.0235196e-10), np.float32(7.5421796e-12), np.float32(6.904019e-12), np.float32(3.1812076e-15), np.float32(3.7990338e-16), np.float32(4.1376987e-14), np.float32(1.7045575e-16), np.float32(1.0), np.float32(6.905893e-11)]"
3833,9,1.0,"[np.float32(5.4191606e-16), np.float32(1.5076106e-08), np.float32(1.3139867e-18), np.float32(3.4883295e-17), np.float32(5.0105506e-22), np.float32(5.8021308e-21), np.float32(5.288757e-14), np.float32(2.642574e-20), np.float32(4.629129e-13), np.float32(1.0)]"
9656,0,0.50272316,"[np.float32(0.50272316), np.float32(3.3405927e-11), np.float32(1.3564207e-08), np.float32(5.966167e-14), np.float32(3.8167816e-10), np.float32(1.3686874e-15), np.float32(5.9306066e-15), np.float32(5.1321015e-15), np.float32(0.49727678), np.float32(1.4248866e-10)]"
978,1,1.0,"[np.float32(1.2516399e-12), np.float32(1.0), np.float32(1.3056659e-13), np.float32(4.9829854e-12), np.float32(5.6537464e-16), np.float32(1.9022236e-13), np.float32(4.413636e-12), np.float32(8.854441e-16), np.float32(4.9825864e-08), np.float32(5.151322e-08)]"
8956,2,0.9975293,"[np.float32(0.0024703487), np.float32(2.4323333e-08), np.float32(0.9975293), np.float32(3.0713618e-09), np.float32(1.7140479e-07), np.float32(8.314233e-09), np.float32(4.900964e-11), np.float32(1.8725348e-07), np.float32(2.264636e-10), np.float32(2.2481165e-08)]"
9201,3,0.9999312,"[np.float32(4.107089e-10), np.float32(8.154806e-12), np.float32(8.3712093e-10), np.float32(0.9999312), np.float32(2.5789517e-09), np.float32(6.535569e-05), np.float32(3.4374975e-06), np.float32(5.728503e-12), np.float32(7.067126e-11), np.float32(6.48365e-11)]"
860,4,0.999506,"[np.float32(1.3453924e-12), np.float32(1.6114058e-13), np.float32(3.6356462e-07), np.float32(1.0389345e-09), np.float32(0.999506), np.float32(8.014285e-07), np.float32(2.216198e-12), np.float32(0.0004928423), np.float32(9.484315e-15), np.float32(7.1290873e-12)]"
6253,5,0.8488834,"[np.float32(3.381705e-06), np.float32(1.2476621e-06), np.float32(0.004195698), np.float32(0.0025392023), np.float32(0.107601844), np.float32(0.8488834), np.float32(0.0003282849), np.float32(0.036445715), np.float32(7.3789534e-09), np.float32(1.2453879e-06)]"
9571,6,0.99999976,"[np.float32(3.8495143e-13), np.float32(3.1601813e-10), np.float32(7.817676e-10), np.float32(8.9968255e-09), np.float32(2.7020375e-09), np.float32(2.1685307e-07), np.float32(0.99999976), np.float32(1.4597244e-12), np.float32(3.8674053e-13), np.float32(1.9434401e-10)]"
4837,7,1.0,"[np.float32(1.3645828e-29), np.float32(4.0417442e-35), np.float32(2.70213e-32), np.float32(2.0870272e-30), np.float32(1.50612e-14), np.float32(6.956853e-16), np.float32(1.0386351e-36), np.float32(1.0), np.float32(4.4350226e-37), np.float32(1.6189906e-32)]"
5073,8,1.0,"[np.float32(2.9949266e-08), np.float32(2.6196545e-09), np.float32(3.5700113e-13), np.float32(5.234726e-13), np.float32(1.8398982e-12), np.float32(2.0295568e-14), np.float32(2.410516e-15), np.float32(8.009523e-15), np.float32(1.0), np.float32(3.224245e-10)]"
